Original Link,Resolved CID
tr.wikipedia-on-ipfs.org/wiki/Yüzme,bafkreihrottbpiz7aleq534dsxjjrlnvqzm5ohac77ytpzulumjuebn4vm
tr.wikipedia-on-ipfs.org/wiki/Yazılım,bafkreib2olx3rv45iooaylilaoihbpcs5s2e7brbquul66lrenmcn3imha
tr.wikipedia-on-ipfs.org/wiki/Mühendislik,bafkreiaqpmjsgohsgdm3lvgilnp2c2j54akgzs6pr5bdgvrfpnw766kwsu
tr.wikipedia-on-ipfs.org/wiki/Sürdürülebilir_gelişme,bafkreiaafy7golnsbvzjp4zu4uwd35s6jfkydmhtjk73zg3elfy74i2o4q
tr.wikipedia-on-ipfs.org/wiki/Orta_Çağ,bafkreigelfsceh65pxxkipahvbxxdqq4vb5mng2rxd7aifygthutnz6m7a
tr.wikipedia-on-ipfs.org/wiki/Antik_Yakın_Doğu,bafkreihsyrktoldjun7mygnmo7ipqov3oz3yoimtp2xjuxa673b65np7ry
tr.wikipedia-on-ipfs.org/wiki/Türkçe_Vikipedi,bafkreido4s4dsdrauvdzd4q5fuwvn4nbchdddxtqltezlq6wts3a2fye2i
tr.wikipedia-on-ipfs.org/wiki/Britanya_İmparatorluğu,bafybeiabtquufi7oudbkbgntsbazxhiqddx77ei34havpvggzhss363kwq
tr.wikipedia-on-ipfs.org/wiki/İnsan_hakları,bafkreigu2y6wshtcidumz2jp6qijxg5zainmwixnteytwzsjxw3jzw2vr4
tr.wikipedia-on-ipfs.org/wiki/Hokkabazlık,bafkreihdntz4ij6jfh4574i6avl6lkqp74m2jyt7ndsiahznzdpza3qmfu
tr.wikipedia-on-ipfs.org/wiki/Eğitim,bafkreiehctfcyfzlzqbhtlqx2hcqb4v3iww65soadykhy4biv7f4h2cdxe
tr.wikipedia-on-ipfs.org/wiki/Coğrafya,bafkreicgjas4uc3gufrkcpnywcphl4a4iuqt7dmnlilil2wym6c45ulh5q
tr.wikipedia-on-ipfs.org/wiki/Güney_Amerika,bafkreiabua2qzwgblvzh63lyarewfhzxiyzqhaurjxhcuz42cfk24rqe4i
tr.wikipedia-on-ipfs.org/wiki/Uzay_Çağı,bafkreifafzgifxofu2emccniwpkge46u3kaeoqg5qhadx54qz74sr2vfh4
tr.wikipedia-on-ipfs.org/wiki/Shenzhou_programı,bafkreidhpthm4c5ciapp2zsqlhnzsfkhfdjbsoqg6nclebdetcxje3jcea
tr.wikipedia-on-ipfs.org/wiki/Yörünge_mekaniği,bafkreic63b2wdjibicfkyrmz5thf3s2hzuf7dmnpdkqzsbsbj6tkitgipa
tr.wikipedia-on-ipfs.org/wiki/Fırlatma_rampası,bafkreihzjwpg6xswgdhji4nwhp5pammpfajpm67guqzmw7z6wrkf5mlmka
tr.wikipedia-on-ipfs.org/wiki/Çin_uzay_programı,bafkreigv6wpmjfpmenvi4aqfwg4sbsvwt7rzfjjgwc6gwaogyxfdkujkxi
tr.wikipedia-on-ipfs.org/wiki/İnsanlı_uzay_uçuş_programı,bafkreictbia7n3vdwhyc4pzrbjrw26g2suk7mlolfjk4dr5rwejn6siifq
tr.wikipedia-on-ipfs.org/wiki/Uzay_havası,bafkreifqbkf74h55bxszfnz7dg5nkwtiimontbyj62wcdbab5ygglqeadu
tr.wikipedia-on-ipfs.org/wiki/Kurtulma_hızı,bafkreiga4sbezudpwto6lkclblthgz4jrciq57zrbcjwpfnuusosbd6sdq
tr.wikipedia-on-ipfs.org/wiki/İletişim_uydusu,bafkreihac252fi2n4eprq3s6ddwzgkhkbglrisksqb67plafbsbjovbfy4
tr.wikipedia-on-ipfs.org/wiki/Uzay_sondası,bafkreieaufuifgtslypwwlrubflprw47wian3dadwnybylmllgsag7vqxa
tr.wikipedia-on-ipfs.org/wiki/Yer_gözlem_uydusu,bafkreidghv7tuejsg6ersbldeeb4fjfo2b3yox5ykn357lhsou3d62kiom
tr.wikipedia-on-ipfs.org/wiki/Yörünge_uzay_uçuşu,bafkreidpsv5owcfzcug7yp2h5swekmmtl3u65yqrph2f6zd7vkophlrp5y
tr.wikipedia-on-ipfs.org/wiki/Ağırlıksızlık,bafkreiexuvph2757ijvkcoh5lvctrzgmbwsrug5umsg26cv5papp6o755a
