Original Link,Resolved CID
ar.wikipedia-on-ipfs.org/wiki/علم_الأدلة_الجنائية,bafkreibogt2s3c23rftimqmhszwp5itrbzoi26vmslaysdjnc7ezh7xgqu
ar.wikipedia-on-ipfs.org/wiki/كريكت,bafkreibwcqvryul2efhjwwriejcb7bpcua7eujaroofvcrrk4a3emom2hq
ar.wikipedia-on-ipfs.org/wiki/كرة_القدم,bafkreia73qi3woy4ckc7oopfmsjlpv7vetf6j4ibfl5upqaqpi25rogwti
ar.wikipedia-on-ipfs.org/wiki/فن_الوهم,bafkreifphywbistrk6vom6ik2l7angwpsi2ocfsphiasiajkekgpem76fm
ar.wikipedia-on-ipfs.org/wiki/أدب,bafkreicrbr3rxnebcesi4fe7oeke2v2pfdp7wps6rvltovpuwhuvo5hmn4
ar.wikipedia-on-ipfs.org/wiki/ويكي_مصدر,bafkreicahxlsdojqwvaisdasgyqgedlsib3beu3uqknkhxdxz6ohzn4ppi
ar.wikipedia-on-ipfs.org/wiki/سباحة,bafkreif3zpbiatydyhs2nygmnlqsinbodewounif7tdnscsrwvlcnmmiiq
ar.wikipedia-on-ipfs.org/wiki/تاريخ_اليابان,bafkreigwfkh2ycvwh3yajayugs6fajjvuq4bt2e2mc3c5kpjs53b7dl34q
ar.wikipedia-on-ipfs.org/wiki/إنترنت,bafkreiec27b7ldplxupmnos6fmi6ptrxcvlqj6koqqxe6lgkkwbik5erhi
ar.wikipedia-on-ipfs.org/wiki/شعر_(أدب),bafkreieyfy3d6xvmu7q7y4ht4v6xw5rimpw4yprjwhjvxv4yrackjkhiau
ar.wikipedia-on-ipfs.org/wiki/الإمبراطورية_البيزنطية,bafybeicw7bjzmbvo3qtgplppvpxhiehcyo6nm77ye35fvggatrfajacmee
ar.wikipedia-on-ipfs.org/wiki/كرة_السلة,bafkreiaclmtahr4xepicgrkcoi65dlmb3kjy2fuof2dxbmxkec2667ffx4
ar.wikipedia-on-ipfs.org/wiki/هندسة_تطبيقية,bafkreifnmjsvy5e4xrgjonmdvlotq32pkddzvmqfrbyxm65rnxj5ve64hm
ar.wikipedia-on-ipfs.org/wiki/الحركة_الاجتماعية,bafkreicets4bmjir2lzg6pw4vp4h4rowcnt5kttvsjogk5qrmhrupjl5yi
ar.wikipedia-on-ipfs.org/wiki/ويكيبيديا,bafybeiaug4lwcw5schkjdf6qv7xyh5gaosbokdxuk2cw7767m24a6jdoye
ar.wikipedia-on-ipfs.org/wiki/اتصال_عن_بعد,bafkreifqui3u5bm3y2d7og7aaiivyg3tpfh4knkssdgaixbp5xfgcdsaji
ar.wikipedia-on-ipfs.org/wiki/ويكيميديا,bafkreighc422z5tuklkajddr3t2sxgswcn73urfdkdcciucantrwrqmdwq
ar.wikipedia-on-ipfs.org/wiki/ويكاموس,bafkreidsbh4v53abokjspygrx36htb23ckffhmttbvnxsgt7csiql6ccde
ar.wikipedia-on-ipfs.org/wiki/فيزياء,bafybeih63iwtc4c6uj5m5cxblx4ye4ev4op2ocejk23rhm6ewu5ohyggvq
ar.wikipedia-on-ipfs.org/wiki/تقنية_المعلومات,bafkreid7co6vos2a5fptkpsor3jdqwdwkcbsfno3o5hu46s7kqzrsqqbbq
ar.wikipedia-on-ipfs.org/wiki/دورة_ألعاب_الكومنولث,bafkreiegy54xpmo4xdf6kvt5sjgewwr2m2svncvwenaljmqyzwmyvgzu2y
ar.wikipedia-on-ipfs.org/wiki/تعليم,bafkreibwusxjt6esuubrcmvo4d2zxnb2evfuy7qpda2ujv7ykuysg75nqu
ar.wikipedia-on-ipfs.org/wiki/الألعاب_الأولمبية,bafkreibwzcula6wa4kl7axfiwvavjecqhhvvma6x32zgnpczmf4ittwx7e
ar.wikipedia-on-ipfs.org/wiki/ويكي_الاقتباس,bafkreid7ddhndqgyveafwzayjnixgec2leysmcvcyqpxmepxgfk2ayk3hy
ar.wikipedia-on-ipfs.org/wiki/رياضيات_تطبيقية,bafkreib52aq27dqxxtfhmzry5eglytci2tsmdbwxzp3nel2slz77wfnxm4
ar.wikipedia-on-ipfs.org/wiki/علم_الخرائط,bafkreighbppkkxcpmvns5wj4awg5tfc75sqqykqionwazrw73cbpnavu6a
ar.wikipedia-on-ipfs.org/wiki/خط_عربي,bafybeibybhem23kdagarvm6rpyoteryw7dufydj4rkguh7s6viiw2sjguu
ar.wikipedia-on-ipfs.org/wiki/عصور_وسطى,bafkreifa2tg6g3yzchmy3myq3qdqlomzph6ork6aopzi2u3oiapfwthlpa
ar.wikipedia-on-ipfs.org/wiki/فن_الأكل,bafkreiagxavsjppwzyuvn5tiosybucr5vfey2l6j2j4s2dksw5xbinsopi
ar.wikipedia-on-ipfs.org/wiki/الألعاب_البارالمبية,bafkreifkhfad6xxktbmjkjetsaeelwjplzzls5zb3zyk4y7zbvbn74k6jq
ar.wikipedia-on-ipfs.org/wiki/كيمياء,bafybeihhm2k7qubc25aipbkklx37c3pdr646cpsei3p32zjwlq4mxzv3ve
ar.wikipedia-on-ipfs.org/wiki/علوم_الأرض,bafkreidjalop6c5ccqxng2hfoam7dquhmaskvdsi5sbubbxcfnvthwkv5m
ar.wikipedia-on-ipfs.org/wiki/طب_الأسنان,bafkreih4ymshm25waf5h5rpxzbqivfchsummrhkqok7boe3gkmoz7j5cg4
ar.wikipedia-on-ipfs.org/wiki/علوم_اجتماعية,bafkreiazuz55xb7vpwjvzovs3lfktl5wurd2nx6jdi22l2mg5mzkqi7x74
ar.wikipedia-on-ipfs.org/wiki/تصوير,bafkreigsjtnk7dqq72c5kevwj5zblz34hr63tpgeb4a2hs65rsz2ev67vm
